startTime,endTime,label
36.94101,36.94108,tissue
36.94108,36.94108,tissue
36.94115,36.94117,tissue
36.94131,36.94133,tissue
36.94137,36.94143,tissue
36.94147,36.94149,tissue
36.94153,36.94155,tissue
36.94176,36.94176,tissue
36.94186,36.9419,tissue
36.94192,36.94192,tissue
36.94221,36.94223,tissue
36.94226,36.94226,tissue
36.94242,36.94242,tissue
36.94246,36.94246,tissue
36.94252,36.94253,tissue
36.94264,36.94264,tissue
36.94285,36.94288,tissue
36.94293,36.94295,tissue
36.94306,36.94306,tissue
36.94309,36.94311,tissue
36.94326,36.94326,tissue
36.94352,36.94352,tissue
36.94358,36.94358,tissue
36.94368,36.94368,tissue
36.94374,36.94378,tissue
36.94392,36.94392,tissue
36.9442,36.9442,tissue
36.9443,36.9443,tissue
36.94451,36.94453,tissue
36.94514,36.94514,water
36.94568,36.94568,water
36.94576,36.9458,tissue
36.94788,36.94788,water
36.95806,36.95806,water
36.95812,36.95812,water
36.95852,36.95852,water
36.9586,36.9586,water
36.95888,36.95892,water
36.95904,36.95904,water
36.95922,36.95922,water
36.95926,36.95926,water
36.95942,36.95946,water
36.95948,36.95948,water
36.95958,36.95958,water
36.9596,36.95964,water
36.9598,36.95984,water
36.95988,36.95992,water
36.96,36.96,water
36.96006,36.96006,water
36.96011,36.96013,water
36.96033,36.96036,water
36.9604,36.9604,water
36.96054,36.96054,water
36.9606,36.9606,water
36.96069,36.96071,water
36.96077,36.96079,water
36.96095,36.96098,water
36.96112,36.96112,water
36.9612,36.9612,water
36.96125,36.96127,water
36.96134,36.96134,water
36.96158,36.96158,water
36.9617,36.9617,water
36.96192,36.96196,water
36.96198,36.96198,water
37.31988,37.31988,water
37.31992,37.31996,water
37.32,37.32,water
37.32011,37.32022,water
37.32022,37.32022,water
37.3203,37.3203,water
37.32042,37.32042,water
37.32051,37.32054,water
37.321,37.321,water
37.32648,37.32648,water
37.32668,37.32668,water
37.32672,37.32672,water
37.32682,37.32682,water
37.32688,37.32688,water
37.32696,37.32696,water
37.32703,37.32706,water
37.3271,37.3271,water
37.32714,37.32714,water
37.32718,37.32718,water
37.32725,37.32731,water
37.32736,37.32744,water
37.32745,37.32748,water
37.3285,37.3285,water
37.32862,37.32862,water
37.33777,37.33779,water
37.33812,37.33812,water
37.33818,37.33822,water
37.33824,37.33824,water
37.3384,37.3384,water
37.33847,37.33849,water
37.33853,37.33855,water
37.3485,37.34854,water
37.34861,37.34867,water
37.34876,37.3488,water
37.3489,37.3489,water
37.34894,37.34898,water
37.34912,37.34912,water
37.34914,37.34918,water
37.34922,37.34922,water
37.34926,37.34931,water
37.34934,37.34934,water
37.34944,37.34948,water
37.34951,37.34954,water
37.34964,37.34964,water
37.3497,37.3497,water
37.34983,37.34986,water
37.34991,37.34997,water
37.35008,37.35008,water
37.35038,37.35038,water
37.35057,37.3506,water
37.36,37.36,water
37.36062,37.36062,water
37.36118,37.36118,water
37.36128,37.36128,water
37.36134,37.36134,water
37.36146,37.36146,water
37.36152,37.36152,water
37.3616,37.36164,water
37.36178,37.36178,water
37.36184,37.36184,water
37.36202,37.36206,water
37.36209,37.36211,water
37.36215,37.36218,water
37.3622,37.3622,water
37.36231,37.36233,water
37.36238,37.36238,water
37.36248,37.36248,water
37.36258,37.36262,water
37.36265,37.36268,water
37.36272,37.36272,water
37.36277,37.36279,water
37.36321,37.36323,water
37.36334,37.36334,water
37.36372,37.36372,water
37.36422,37.36427,water
37.36512,37.36512,water
37.3706,37.3706,water
37.729,37.729,tissue
43.37269,43.37272,tissue
43.37273,43.37275,tissue
43.3728,43.3728,tissue
43.52932,43.52932,water
43.52964,43.52965,water
43.52966,43.52974,water
43.52977,43.52979,water
43.52982,43.52982,water
43.52998,43.52998,water
43.53024,43.53024,water
43.5303,43.5303,water
